Format Version,1.23,Take Name,Take 2025-07-31 09.46.21 AM,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2025-07-31 09.46.22.302 AM,Total Frames in Take,1181,Total Exported Frames,1181,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Ball,Ball,Ball,Ball,Ball,Ball
,ID,"CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,172.809769,1.449737,-172.251129,0.755280,1.030058,0.561038
1,0.016667,173.080963,0.608962,-172.846237,0.760327,1.031393,0.562205
2,0.033333,173.397202,0.170854,-171.199158,0.762715,1.031621,0.562497
3,0.050000,173.728470,-0.593921,-172.161224,0.769218,1.030655,0.563980
4,0.066667,173.608200,-0.800375,-172.476440,0.774011,1.031153,0.564573
5,0.083333,174.543365,-1.558578,-171.776093,0.778284,1.030581,0.564654
6,0.100000,174.368210,-1.755101,-171.963486,0.784088,1.029907,0.565892
7,0.116667,174.617477,-2.210785,-172.430832,0.789040,1.029504,0.565897
8,0.133333,174.092270,-2.690017,-172.820145,0.795574,1.028402,0.567613
9,0.150000,173.303329,-3.383730,-172.605576,0.800793,1.029118,0.569171
10,0.166667,173.853485,-3.418758,-172.720398,0.806349,1.027318,0.568712
11,0.183333,173.496918,-3.889786,-173.616653,0.813359,1.026972,0.569455
12,0.200000,173.929153,-4.411547,-172.703384,0.817523,1.026381,0.568621
13,0.216667,173.477844,-4.530292,-174.005020,0.825082,1.025232,0.569574
14,0.233333,173.884811,-5.478640,-174.225189,0.831132,1.024106,0.569923
15,0.250000,173.395660,-5.575860,-174.936615,0.837530,1.022994,0.570035
16,0.266667,173.871338,-5.937222,-175.071793,0.843756,1.021749,0.569792
17,0.283333,173.443100,-6.480941,-175.498550,0.850451,1.021029,0.570713
18,0.300000,172.898972,-6.632774,-176.309204,0.857443,1.019539,0.570546
19,0.316667,173.077530,-7.027845,-177.631042,0.864146,1.018729,0.569794
20,0.333333,173.294479,-7.165090,-177.835251,0.870924,1.017084,0.569406
